,Order Date,Ship Mode,Segment,City,State,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,SalePerQuant
0,2016-11-08,2,0,194,15,2,12,0,4,386,261.96,2.0,0.0,41.9136,130.98
1,2016-11-08,2,0,194,15,2,55,0,5,839,731.94,3.0,0.0,219.582,243.98000000000002
2,2016-06-12,2,1,266,3,3,946,1,10,1433,14.62,2.0,0.0,6.8714,7.31
3,2015-10-11,3,0,153,8,2,319,0,16,366,957.5775,5.0,0.45,-383.031,191.5155
4,2015-10-11,3,0,153,8,2,1316,1,14,573,22.368,2.0,0.2,2.5164,11.184
5,2014-06-09,3,0,266,3,3,185,0,9,570,48.86,7.0,0.0,14.1694,6.9799999999999995
6,2014-06-09,3,0,266,3,3,562,1,2,1129,7.28,4.0,0.0,1.9656,1.82
7,2014-06-09,3,0,266,3,3,1761,2,13,1092,907.152,6.0,0.2,90.7152,151.192
8,2014-06-09,3,0,266,3,3,794,1,3,499,18.504,3.0,0.2,5.7825,6.168
9,2014-06-09,3,0,266,3,3,437,1,1,302,114.9,5.0,0.0,34.47,22.98
10,2014-06-09,3,0,266,3,3,328,0,16,427,1706.184,9.0,0.2,85.3092,189.576
11,2014-06-09,3,0,266,3,3,1750,2,13,965,911.424,4.0,0.2,68.3568,227.856
12,2017-04-15,3,0,96,31,2,1167,1,12,1756,15.552,3.0,0.2,5.4432,5.184
13,2016-12-05,3,0,452,45,3,781,1,3,648,407.976,3.0,0.2,132.5922,135.992
14,2015-11-22,3,2,154,41,0,421,1,1,822,68.81,5.0,0.8,-123.858,13.762
15,2015-11-22,3,2,154,41,0,663,1,3,1512,2.544,3.0,0.8,-3.816,0.848
16,2014-11-11,3,0,272,47,0,1408,1,14,1518,665.88,6.0,0.0,13.3176,110.98
17,2014-05-13,2,0,513,42,3,1294,1,14,660,55.5,2.0,0.0,9.99,27.75
18,2014-08-27,2,0,438,3,3,567,1,2,1150,8.56,2.0,0.0,2.4824,4.28
19,2014-08-27,2,0,438,3,3,1749,2,13,436,213.48,3.0,0.2,16.011,71.16
20,2014-08-27,2,0,438,3,3,730,1,3,1633,22.72,4.0,0.2,7.384,5.68
21,2016-12-09,3,1,158,25,0,477,1,2,1124,19.46,7.0,0.0,5.0596,2.7800000000000002
22,2016-12-09,3,1,158,25,0,408,1,1,78,60.34,7.0,0.0,15.6884,8.620000000000001
23,2017-07-16,2,0,374,36,1,95,0,5,746,71.372,2.0,0.3,-1.0196,35.686
24,2015-09-25,3,0,351,42,3,319,0,16,366,1044.63,3.0,0.0,240.2649,348.21000000000004
25,2016-01-16,2,0,266,3,3,702,1,3,1624,11.648,2.0,0.2,4.2224,5.824
26,2016-01-16,2,0,266,3,3,1546,2,0,914,90.57,3.0,0.0,11.7741,30.189999999999998
27,2015-09-17,3,0,374,36,1,48,0,4,1351,3083.43,7.0,0.5,-1665.0522,440.48999999999995
28,2015-09-17,3,0,374,36,1,655,1,3,265,9.618,2.0,0.7,-7.0532,4.809
29,2015-09-17,3,0,374,36,1,310,0,9,881,124.2,3.0,0.2,15.525,41.4
30,2015-09-17,3,0,374,36,1,860,1,7,1284,3.264,2.0,0.2,1.1016,1.632
31,2015-09-17,3,0,374,36,1,610,1,2,279,86.304,6.0,0.2,9.7092,14.384
32,2015-09-17,3,0,374,36,1,695,1,3,73,6.858,6.0,0.7,-5.715,1.143
33,2015-09-17,3,0,374,36,1,526,1,2,1031,15.76,2.0,0.2,3.546,7.88
34,2017-10-19,2,2,207,41,0,1034,1,12,537,29.472,3.0,0.2,9.9468,9.824
35,2016-12-08,0,1,406,41,0,1861,2,13,725,1097.544,7.0,0.2,123.4737,156.792
36,2016-12-08,0,1,406,41,0,265,0,9,593,190.92,5.0,0.6,-147.963,38.184
37,2015-12-27,3,2,207,41,0,875,1,7,6,113.328,9.0,0.2,35.415,12.592
38,2015-12-27,3,2,207,41,0,20,0,4,167,532.3992,3.0,0.32,-46.9764,177.4664
39,2015-12-27,3,2,207,41,0,120,0,5,752,212.058,3.0,0.3,-15.147,70.68599999999999
40,2015-12-27,3,2,207,41,0,1696,2,13,1273,371.168,4.0,0.2,41.7564,92.792
41,2017-09-10,3,1,321,11,0,1830,2,13,1244,147.168,4.0,0.2,16.5564,36.792
42,2016-07-17,3,1,266,3,3,1394,1,14,556,77.88,2.0,0.0,3.894,38.94
43,2017-09-19,3,1,288,8,2,1387,1,14,115,95.616,2.0,0.2,9.5616,47.808
44,2016-03-11,0,1,129,21,0,1462,2,0,1598,45.98,2.0,0.0,19.7714,22.99
45,2016-03-11,0,1,129,21,0,767,1,3,1637,17.46,2.0,0.0,8.2062,8.73
46,2014-10-20,2,0,516,20,0,1352,1,14,776,211.96,4.0,0.0,8.4784,52.99
47,2016-06-20,3,0,124,6,1,1520,2,0,915,45.0,3.0,0.0,4.95,15.0
48,2016-06-20,3,0,124,6,1,1825,2,13,967,21.8,2.0,0.0,6.104,10.9
49,2015-04-18,3,0,324,12,0,822,1,3,394,38.22,6.0,0.0,17.9634,6.37
50,2015-04-18,3,0,324,12,0,980,1,10,192,75.18,6.0,0.0,35.3346,12.530000000000001
51,2015-04-18,3,0,324,12,0,192,0,9,1029,6.16,2.0,0.0,2.9568,3.08
52,2015-04-18,3,0,324,12,0,100,0,5,760,89.99,1.0,0.0,17.0981,89.99
53,2016-12-11,3,1,329,30,1,904,1,8,122,15.26,7.0,0.0,6.2566,2.18
54,2016-12-11,3,1,329,30,1,1769,2,13,43,1029.95,5.0,0.0,298.6855,205.99
55,2016-06-17,0,0,488,30,1,1306,1,14,824,208.56,6.0,0.0,52.14,34.76
56,2016-06-17,0,0,488,30,1,1110,1,12,1830,32.4,5.0,0.0,15.552,6.4799999999999995
57,2016-06-17,0,0,488,30,1,115,0,5,1174,319.41,5.0,0.1,7.098,63.882000000000005
58,2016-06-17,0,0,488,30,1,1061,1,12,159,14.56,2.0,0.0,6.9888,7.28
59,2016-06-17,0,0,488,30,1,1520,2,0,915,30.0,2.0,0.0,3.3,15.0
60,2016-06-17,0,0,488,30,1,692,1,3,1280,48.48,4.0,0.2,16.362,12.12
